seed,method,scenario_generation_time_s,obstacle_collisions,total_distance_m,flight_time_s,turning_number,energy_proxy,overall_coverage_rate,high_risk_coverage_rate,abnormality_detection_rate,missed_risk_rate,detected_truth_cells,detections_per_km,waypoints
20260612,Fixed route,0.019005699999979697,0,6686.41765748929,1114.4029429148816,26.0,6790.41765748929,0.452,0.672566371681416,0.5643564356435643,0.4356435643564357,342.0,51.14846507037058,30.0
20260612,Standard CPP,0.019005699999979697,0,12731.259280134309,2121.8765466890513,46.0,12915.259280134309,0.6652,0.8053097345132744,0.7343234323432343,0.2656765676567657,445.0,34.953337310031245,50.0
20260612,Key-point TSP,0.019005699999979697,0,5542.60476139758,923.7674602329299,45.0,5722.60476139758,0.3276,0.6194690265486725,0.4636963696369637,0.5363036303630363,281.0,50.698184715798725,61.0
20260612,IPP baseline,0.019005699999979697,0,5027.335172691672,837.889195448612,67.0,5295.335172691672,0.2724,0.9203539823008849,0.4966996699669967,0.5033003300330032,301.0,59.87267402321267,74.0
20260612,Proposed method,0.019005699999979697,0,12811.701460591486,2135.2835767652477,53.0,13023.701460591486,0.704,0.9380530973451328,0.7937293729372937,0.20627062706270627,481.0,37.543803333190795,77.0
20260613,Fixed route,0.0164545999996335,0,6686.41765748929,1114.4029429148816,26.0,6790.41765748929,0.452,0.48623853211009177,0.4794745484400657,0.5205254515599342,292.0,43.67061929984856,30.0
20260613,Standard CPP,0.0164545999996335,0,12731.259280134309,2121.8765466890513,46.0,12915.259280134309,0.6652,0.7247706422018348,0.8013136288998358,0.19868637110016418,488.0,38.33085080291067,50.0
20260613,Key-point TSP,0.0164545999996335,0,4977.558691783753,829.5931152972921,39.0,5133.558691783753,0.3172,0.7798165137614679,0.5090311986863711,0.49096880131362886,310.0,62.27952681134709,59.0
20260613,IPP baseline,0.0164545999996335,0,4028.4822486839184,671.4137081139864,28.0,4140.482248683918,0.2408,0.926605504587156,0.4860426929392447,0.5139573070607553,296.0,73.47680385006078,35.0
20260613,Proposed method,0.0164545999996335,0,13026.0983336453,2171.016388940883,53.0,13238.0983336453,0.678,0.981651376146789,0.8440065681444991,0.15599343185550085,514.0,39.45924457459237,76.0
20260614,Fixed route,0.017056099999535945,0,6686.41765748929,1114.4029429148816,26.0,6790.41765748929,0.452,0.3790849673202614,0.504424778761062,0.49557522123893805,285.0,42.62372089197548,30.0
20260614,Standard CPP,0.017056099999535945,0,12731.259280134309,2121.8765466890513,46.0,12915.259280134309,0.6652,0.6993464052287581,0.7044247787610619,0.2955752212389381,398.0,31.261636515488615,50.0
20260614,Key-point TSP,0.017056099999535945,0,5312.048116642527,885.3413527737545,30.0,5432.048116642527,0.3232,0.7189542483660131,0.5681415929203539,0.43185840707964607,321.0,60.42866949836434,54.0
20260614,IPP baseline,0.017056099999535945,0,4148.576880064299,691.4294800107165,22.0,4236.576880064299,0.2336,0.9477124183006536,0.5557522123893806,0.44424778761061945,314.0,75.68860577440553,33.0
20260614,Proposed method,0.017056099999535945,0,12897.408473885102,2149.5680789808503,62.0,13145.408473885102,0.6436,0.9869281045751634,0.8141592920353983,0.18584070796460173,460.0,35.66607981218987,84.0
20260615,Fixed route,0.01584989999901154,0,6686.41765748929,1114.4029429148816,26.0,6790.41765748929,0.452,0.42857142857142855,0.5047801147227533,0.4952198852772467,264.0,39.483025668356234,30.0
20260615,Standard CPP,0.01584989999901154,0,12731.259280134309,2121.8765466890513,46.0,12915.259280134309,0.6652,0.8928571428571429,0.7648183556405354,0.23518164435946465,400.0,31.418730166320216,50.0
20260615,Key-point TSP,0.01584989999901154,0,5182.042498724797,863.6737497874661,23.0,5274.042498724797,0.3128,0.8928571428571429,0.621414913957935,0.378585086042065,325.0,62.716583293166046,50.0
20260615,IPP baseline,0.01584989999901154,0,4215.9003240898,702.6500540149667,26.0,4319.9003240898,0.2028,0.9910714285714286,0.4435946462715105,0.5564053537284894,232.0,55.02976402794535,33.0
20260615,Proposed method,0.01584989999901154,0,12818.442621146636,2136.407103524439,58.0,13050.442621146636,0.6472,0.9732142857142857,0.8795411089866156,0.12045889101338436,460.0,35.885794678453074,79.0
20260616,Fixed route,0.016062400000009802,0,6686.41765748929,1114.4029429148816,26.0,6790.41765748929,0.452,0.4731182795698925,0.49072512647554806,0.5092748735244519,291.0,43.52106238443812,30.0
20260616,Standard CPP,0.016062400000009802,0,12731.259280134309,2121.8765466890513,46.0,12915.259280134309,0.6652,0.8387096774193549,0.7723440134907251,0.22765598650927488,458.0,35.974446040436646,50.0
20260616,Key-point TSP,0.016062400000009802,0,5464.921628233132,910.8202713721886,46.0,5648.921628233132,0.3372,0.8279569892473119,0.6492411467116358,0.3507588532883642,385.0,70.44931770128142,64.0
20260616,IPP baseline,0.016062400000009802,0,3590.892729548392,598.4821215913986,28.0,3702.892729548392,0.2168,0.989247311827957,0.4924114671163575,0.5075885328836425,292.0,81.3168262023587,30.0
20260616,Proposed method,0.016062400000009802,0,12763.725229731519,2127.2875382885863,48.0,12955.725229731519,0.662,0.978494623655914,0.7858347386172007,0.21416526138279934,466.0,36.509717313132896,69.0
