tau,inserted_points,obstacle_collisions,total_distance_m,flight_time_s,turning_number,energy_proxy,overall_coverage_rate,high_risk_coverage_rate,abnormality_detection_rate,missed_risk_rate,detected_truth_cells,detections_per_km,waypoints
0.5,69,0,12970.426667394568,2161.7377778990945,48.0,13162.426667394568,0.7032,0.8584070796460177,0.764026402640264,0.235973597359736,463.0,35.69658977864643,95.0
0.6,76,0,13279.452708400768,2213.242118066795,68.0,13551.452708400768,0.68,0.9026548672566371,0.8052805280528053,0.19471947194719474,488.0,36.748502420682165,102.0
0.7,51,0,12811.701460591486,2135.2835767652477,53.0,13023.701460591486,0.704,0.9380530973451328,0.7937293729372937,0.20627062706270627,481.0,37.543803333190795,77.0
0.8,33,0,12991.859232682575,2165.3098721137626,48.0,13183.859232682575,0.6664,0.9203539823008849,0.735973597359736,0.264026402640264,446.0,34.32918968811128,59.0
